CustomerID,OrderID,SampleNumber,Site,Sitecode,CustomerSampleNumber,CollectDate,StartDepth,EndDepth,SampleType,Volume,Matrix,Test,Param,ReportedResult,Qualifier,CorrectedReportedResult,CorrectedQualifier,Results_Units,Method,RDL,OrderComment,Results_Commnt,FieldNotes(2014+),FD Fieldnotes(-2013),FD QCData,FD Labnotes,NEW NOTES
FMP,FMP05649,FMP05649,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,6/26/2008,0,0,Deposition-Dry,1073.7,Legacy_Deposition,Total Nitrogen,TPN,226.764,,226.764,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20081001N Spikes: 106.179, 109.307, 109.568, 106.32 Reps: 52.706, 52.955; 132.6, 130.979; 1251.84, 47.597; 54.088, 54.628 Knowns: 100, 100, 100, 109.804, 100",,
FMP,FMP05649,FMP05649,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,6/26/2008,0,0,Deposition-Dry,1073.7,Legacy_Deposition,Total Phosphorus,TP,28.719,,28.719,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20081003P Spikes: 99.123, 104.937, 109.49, 105.623 Reps: 20.643, 21.136; 11.202, 11.164; 6.804, 6.88; 5.932, 5.515 Knowns: 100.234, 100.96, 102.56, 94.115, 102.123",,
FMP,FMP05651,FMP05651,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/3/2008,0,0,Deposition-Dry,1134.8,Legacy_Deposition,Total Nitrogen,TPN,346.588,,346.588,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20081001N Spikes: 106.179, 109.307, 109.568, 106.32 Reps: 52.706, 52.955; 132.6, 130.979; 1251.84, 47.597; 54.088, 54.628 Knowns: 100, 100, 100, 109.804, 100",,
FMP,FMP05651,FMP05651,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/3/2008,0,0,Deposition-Dry,1134.8,Legacy_Deposition,Total Phosphorus,TP,101.405,,101.405,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20081003P Spikes: 99.123, 104.937, 109.49, 105.623 Reps: 20.643, 21.136; 11.202, 11.164; 6.804, 6.88; 5.932, 5.515 Knowns: 100.234, 100.96, 102.56, 94.115, 102.123",,
FMP,FMP05668,FMP05668,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/10/2008,0,0,Deposition-Dry,1154.4,Legacy_Deposition,Total Nitrogen,TPN,355.417,,355.417,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05668,FMP05668,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/10/2008,0,0,Deposition-Dry,1154.4,Legacy_Deposition,Total Phosphorus,TP,169.428,,169.428,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05669,FMP05669,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/18/2008,0,0,Deposition-Dry,888.2,Legacy_Deposition,Total Nitrogen,TPN,315.84,,315.84,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05669,FMP05669,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/18/2008,0,0,Deposition-Dry,888.2,Legacy_Deposition,Total Phosphorus,TP,73.938,,73.938,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05672,FMP05672,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/23/2008,0,0,Deposition-Dry,1087.2,Legacy_Deposition,Total Nitrogen,TPN,167.989,,167.989,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05672,FMP05672,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/23/2008,0,0,Deposition-Dry,1087.2,Legacy_Deposition,Total Phosphorus,TP,17.341,,17.341,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05680,FMP05680,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/31/2008,0,0,Deposition-Dry,955.4,Legacy_Deposition,Total Nitrogen,TPN,669.599,,669.599,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05680,FMP05680,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/31/2008,0,0,Deposition-Dry,955.4,Legacy_Deposition,Total Phosphorus,TP,213.195,,213.195,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05690,FMP05690,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/7/2008,0,0,Deposition-Dry,950.7,Legacy_Deposition,Total Nitrogen,TPN,180.038,,180.038,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05690,FMP05690,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/7/2008,0,0,Deposition-Dry,950.7,Legacy_Deposition,Total Phosphorus,TP,25.02,,25.02,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05692,FMP05692,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/14/2008,0,0,Deposition-Dry,895,Legacy_Deposition,Total Nitrogen,TPN,392.37,,392.37,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05692,FMP05692,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/14/2008,0,0,Deposition-Dry,895,Legacy_Deposition,Total Phosphorus,TP,88.262,,88.262,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
