Date,Site,Test,Parameter,Value,Units,Qualifier,Method,Start Depth,End Depth,SampleType,Volume,Notes
09/01/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,1234.01,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,319.3,"QC: 20080402N Spikes: 96.537, 101.935, 104.144, 97.364 Reps: 89.114, 86.375; 75.419, 75.419; 249.345, 250.714; 130.199, 131.569 Knowns: 94.505, 91.903, 91.218, 109.599, 90.533;Glutamic acid digestion check standard=103%"
09/01/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,138.207,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,319.3,"QC: 20080320P Spikes: 102.401, 100.474, 103.529, 99.82 Reps: 3.817, 3.855; 7.237, 7.275; 5.008, 4.85 Knowns: 102.156, 101.714, 102.304, 100.72;"
09/24/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,491.745,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1834.6,"QC: 20080402N Spikes: 96.537, 101.935, 104.144, 97.364 Reps: 89.114, 86.375; 75.419, 75.419; 249.345, 250.714; 130.199, 131.569 Knowns: 94.505, 91.903, 91.218, 109.599, 90.533;Glutamic acid digestion check standard=103%"
09/24/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,30.677,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1834.6,"QC: 20080320P Spikes: 102.401, 100.474, 103.529, 99.82 Reps: 3.817, 3.855; 7.237, 7.275; 5.008, 4.85 Knowns: 102.156, 101.714, 102.304, 100.72;"
10/04/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,497.223,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1451.4,"QC: 20080402N Spikes: 96.537, 101.935, 104.144, 97.364 Reps: 89.114, 86.375; 75.419, 75.419; 249.345, 250.714; 130.199, 131.569 Knowns: 94.505, 91.903, 91.218, 109.599, 90.533;Glutamic acid digestion check standard=103%"
10/04/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,14.192,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1451.4,"QC: 20080320P Spikes: 102.401, 100.474, 103.529, 99.82 Reps: 3.817, 3.855; 7.237, 7.275; 5.008, 4.85 Knowns: 102.156, 101.714, 102.304, 100.72;"
10/22/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,428.749,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1602.8,"QC: 20080402N Spikes: 96.537, 101.935, 104.144, 97.364 Reps: 89.114, 86.375; 75.419, 75.419; 249.345, 250.714; 130.199, 131.569 Knowns: 94.505, 91.903, 91.218, 109.599, 90.533;Glutamic acid digestion check standard=103%"
10/22/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,9.965,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1602.8,"QC: 20080320P Spikes: 102.401, 100.474, 103.529, 99.82 Reps: 3.817, 3.855; 7.237, 7.275; 5.008, 4.85 Knowns: 102.156, 101.714, 102.304, 100.72;"
11/14/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,734.146,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080402N Spikes: 96.537, 101.935, 104.144, 97.364 Reps: 89.114, 86.375; 75.419, 75.419; 249.345, 250.714; 130.199, 131.569 Knowns: 94.505, 91.903, 91.218, 109.599, 90.533;Glutamic acid digestion check standard=103%"
11/14/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,743.732,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080402N Spikes: 96.537, 101.935, 104.144, 97.364 Reps: 89.114, 86.375; 75.419, 75.419; 249.345, 250.714; 130.199, 131.569 Knowns: 94.505, 91.903, 91.218, 109.599, 90.533;Glutamic acid digestion check standard=103%"
11/14/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,20.225,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080320P Spikes: 102.401, 100.474, 103.529, 99.82 Reps: 3.817, 3.855; 7.237, 7.275; 5.008, 4.85 Knowns: 102.156, 101.714, 102.304, 100.72;"
11/14/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,23.453,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080320P Spikes: 102.401, 100.474, 103.529, 99.82 Reps: 3.817, 3.855; 7.237, 7.275; 5.008, 4.85 Knowns: 102.156, 101.714, 102.304, 100.72;"
11/21/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,294.07,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1160.8,"QC: 20080424A Spikes: 101.322, 101.858, 104.490, 107.72 Reps: 94.634, 93.699; 94.705, 105.891; 541.384, 543.494; 99.62, 98.9 Knowns: 103.931, 100.000, 100.000, 100.000, 100.00;Glutamic acid digestion check standard=103%Glutamic acid digestion check standard=103%"
11/21/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,6.335,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1160.8,"QC: 20080422B Spikes: 96.541, 91.713, 99.486, 100.28 Reps: 3.029, 3.066; 3.809, 3.474; 4.923, 4.886; 3.846, 3.80 Knowns: 97.368, 97.510, 98.934, 97.652, 96.85;"
12/04/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,331.036,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,876.9,"QC: 20080424A Spikes: 101.322, 101.858, 104.490, 107.72 Reps: 94.634, 93.699; 94.705, 105.891; 541.384, 543.494; 99.62, 98.9 Knowns: 103.931, 100.000, 100.000, 100.000, 100.00;Glutamic acid digestion check standard=103%Glutamic acid digestion check standard=103%"
12/04/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,6.038,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,876.9,"QC: 20080422B Spikes: 96.541, 91.713, 99.486, 100.28 Reps: 3.029, 3.066; 3.809, 3.474; 4.923, 4.886; 3.846, 3.80 Knowns: 97.368, 97.510, 98.934, 97.652, 96.85;"
