"Plot Title: 21476421"
"#","Date Time, GMT-06:00","Abs Pres, mm Hg (LGR S/N: 21476421, SEN S/N: 21476421)","Temp, °C (LGR S/N: 21476421, SEN S/N: 21476421)","Abs Pres Barom., mm Hg (LGR S/N: 21060405, SEN S/N: 21060405)","Water Level, meters (LGR S/N: 21476421)","Coupler Detached (LGR S/N: 21476421)","Coupler Attached (LGR S/N: 21476421)","Host Connected (LGR S/N: 21476421)","Stopped (LGR S/N: 21476421)","End Of File (LGR S/N: 21476421)"
1,04/23/24 12:00:00 PM,679.52,19.282,679.56,-0.305,Logged,,,,
2,04/23/24 01:00:00 PM,678.57,18.331,678.78,-0.307,,,,,
3,04/23/24 02:00:00 PM,678.05,18.140,678.27,-0.307,,,,,
4,04/23/24 03:00:00 PM,677.69,18.140,677.88,-0.307,,,,,
5,04/23/24 04:00:00 PM,677.50,18.331,677.51,-0.304,,,,,
6,04/23/24 05:00:00 PM,676.92,18.426,677.13,-0.307,,,,,
7,04/23/24 05:49:26 PM,,,,,,Logged,Logged,,
8,04/23/24 05:50:04 PM,,,,,Logged,,,,
9,04/23/24 05:52:24 PM,,,,,,Logged,Logged,,
10,04/23/24 05:53:01 PM,,,,,Logged,,,,
11,04/23/24 05:53:04 PM,,,,,,Logged,Logged,,
12,04/23/24 05:53:53 PM,,,,,Logged,,,,
13,04/23/24 05:54:06 PM,,,,,,Logged,Logged,,
14,04/23/24 05:56:12 PM,,,,,Logged,,,,
15,04/23/24 06:00:00 PM,676.56,23.100,676.86,-0.308,,,,,
16,04/23/24 07:00:00 PM,676.27,23.966,676.54,-0.308,,,,,
17,04/23/24 08:00:00 PM,676.45,23.677,676.38,-0.303,,,,,
18,04/23/24 09:00:00 PM,676.50,22.812,676.56,-0.305,,,,,
19,04/23/24 10:00:00 PM,676.65,20.805,676.74,-0.305,,,,,
20,04/23/24 11:00:00 PM,676.50,18.616,676.62,-0.306,,,,,
21,04/24/24 12:00:00 AM,676.40,16.332,676.71,-0.308,,,,,
22,04/24/24 01:00:00 AM,676.65,14.134,676.59,-0.304,,,,,
23,04/24/24 02:00:00 AM,676.56,12.110,676.83,-0.308,,,,,
24,04/24/24 03:00:00 AM,676.49,10.259,676.86,-0.309,,,,,
25,04/24/24 04:00:00 AM,676.33,8.581,676.86,-0.311,,,,,
26,04/24/24 05:00:00 AM,676.54,6.978,677.25,-0.314,,,,,
27,04/24/24 06:00:00 AM,676.60,5.347,677.46,-0.316,,,,,
28,04/24/24 07:00:00 AM,676.70,3.893,677.70,-0.318,,,,,
29,04/24/24 08:00:00 AM,673.01,3.155,673.77,-0.315,,,,,
30,04/24/24 09:00:00 AM,674.46,5.347,675.21,-0.314,,,,,
31,04/24/24 10:00:00 AM,678.99,9.077,679.45,-0.311,,,,,
32,04/24/24 11:00:00 AM,675.92,13.654,676.11,-0.307,,,,,
33,04/24/24 11:25:08 AM,,,,,,Logged,Logged,,
34,04/24/24 11:26:16 AM,,,,,Logged,,,,
35,04/24/24 12:00:00 PM,676.74,14.900,676.71,-0.304,,,,,
36,04/24/24 01:00:00 PM,676.74,18.140,676.19,-0.297,,,,,
37,04/24/24 02:00:00 PM,945.46,4.519,674.05,3.386,,,,,
38,04/24/24 03:00:00 PM,944.58,4.727,673.95,3.375,,,,,
39,04/24/24 04:00:00 PM,944.22,4.727,673.35,3.379,,,,,
40,04/24/24 05:00:00 PM,944.34,4.727,673.14,3.383,,,,,
41,04/24/24 06:00:00 PM,944.37,4.519,673.23,3.382,,,,,
42,04/24/24 07:00:00 PM,944.74,4.519,673.53,3.383,,,,,
43,04/24/24 08:00:00 PM,944.09,4.415,673.23,3.379,,,,,
44,04/24/24 09:00:00 PM,944.36,4.207,673.80,3.374,,,,,
45,04/24/24 10:00:00 PM,945.16,4.102,674.25,3.379,,,,,
46,04/24/24 11:00:00 PM,945.64,4.102,674.76,3.379,,,,,
47,04/25/24 12:00:00 AM,945.52,4.102,674.61,3.379,,,,,
48,04/25/24 01:00:00 AM,945.21,4.207,674.64,3.374,,,,,
49,04/25/24 02:00:00 AM,945.33,4.207,675.07,3.370,,,,,
50,04/25/24 03:00:00 AM,945.81,4.207,674.90,3.379,,,,,
51,04/25/24 04:00:00 AM,946.05,4.207,675.10,3.380,,,,,
52,04/25/24 05:00:00 AM,945.57,4.207,674.81,3.377,,,,,
53,04/25/24 06:00:00 AM,945.21,4.207,674.91,3.371,,,,,
54,04/25/24 07:00:00 AM,945.09,4.207,674.79,3.371,,,,,
55,04/25/24 08:00:00 AM,945.57,4.207,674.76,3.378,,,,,
56,04/25/24 09:00:00 AM,945.33,4.207,674.54,3.378,,,,,
57,04/25/24 10:00:00 AM,945.21,4.207,674.56,3.376,,,,,
58,04/25/24 11:00:00 AM,944.64,4.311,673.86,3.377,,,,,
59,04/25/24 12:00:00 PM,944.21,4.415,673.65,3.374,,,,,
60,04/25/24 01:00:00 PM,944.16,4.311,673.59,3.375,,,,,
61,04/25/24 02:00:00 PM,943.97,4.415,673.09,3.379,,,,,
62,04/25/24 03:00:00 PM,943.61,4.415,672.63,3.380,,,,,
63,04/25/24 04:00:00 PM,942.76,4.415,672.33,3.373,,,,,
64,04/25/24 05:00:00 PM,942.64,4.415,672.03,3.375,,,,,
65,04/25/24 06:00:00 PM,942.64,4.415,671.73,3.379,,,,,
66,04/25/24 07:00:00 PM,942.64,4.415,671.80,3.378,,,,,
67,04/25/24 08:00:00 PM,942.23,4.311,671.67,3.375,,,,,
68,04/25/24 09:00:00 PM,942.23,4.311,672.03,3.370,,,,,
69,04/25/24 10:00:00 PM,942.79,4.207,672.51,3.371,,,,,
70,04/25/24 11:00:00 PM,943.20,4.311,672.52,3.376,,,,,
71,04/26/24 12:00:00 AM,943.15,4.207,672.57,3.375,,,,,
72,04/26/24 01:00:00 AM,943.03,4.207,672.70,3.371,,,,,
73,04/26/24 02:00:00 AM,942.91,4.207,672.85,3.368,,,,,
74,04/26/24 03:00:00 AM,943.15,4.207,672.83,3.371,,,,,
75,04/26/24 04:00:00 AM,943.64,4.207,672.87,3.377,,,,,
76,04/26/24 05:00:00 AM,944.36,4.207,673.40,3.380,,,,,
77,04/26/24 06:00:00 AM,944.12,4.207,673.65,3.373,,,,,
78,04/26/24 07:00:00 AM,943.88,4.207,673.71,3.369,,,,,
79,04/26/24 08:00:00 AM,944.60,4.207,674.31,3.371,,,,,
80,04/26/24 09:00:00 AM,945.33,4.207,674.07,3.384,,,,,
81,04/26/24 10:00:00 AM,945.33,4.207,674.22,3.382,,,,,
82,04/26/24 11:00:00 AM,945.25,4.311,674.49,3.377,,,,,
83,04/26/24 12:00:00 PM,944.82,4.415,674.50,3.371,,,,,
84,04/26/24 01:00:00 PM,944.98,4.519,674.39,3.375,,,,,
85,04/26/24 02:00:00 PM,945.43,4.727,674.43,3.380,,,,,
86,04/26/24 03:00:00 PM,945.60,4.831,674.44,3.383,,,,,
87,04/26/24 04:00:00 PM,945.12,4.831,674.38,3.377,,,,,
88,04/26/24 05:00:00 PM,945.00,4.831,674.61,3.372,,,,,
