"Plot Title:  21567199"
"#","Date Time, GMT-06:00","Abs Pres, mm Hg (LGR S/N: 21567199, SEN S/N: 21567199)","Temp, °C (LGR S/N: 21567199, SEN S/N: 21567199)","Water Level, meters (LGR S/N: 21567199)","Coupler Detached (LGR S/N: 21567199)","Coupler Attached (LGR S/N: 21567199)","Host Connected (LGR S/N: 21567199)","Stopped (LGR S/N: 21567199)","End Of File (LGR S/N: 21567199)"
1,04/23/24 12:00:00 PM,678.28,20.329,0.286,Logged,,,,
2,04/23/24 01:00:00 PM,677.46,18.236,0.271,,,,,
3,04/23/24 02:00:00 PM,676.83,17.950,0.262,,,,,
4,04/23/24 03:00:00 PM,676.86,18.045,0.262,,,,,
5,04/23/24 04:00:00 PM,676.47,18.331,0.258,,,,,
6,04/23/24 05:00:00 PM,675.73,18.426,0.248,,,,,
7,04/23/24 05:45:03 PM,,,,,Logged,Logged,,
8,04/23/24 05:46:52 PM,,,,Logged,,,,
9,04/23/24 05:48:33 PM,,,,,Logged,Logged,,
10,04/23/24 05:49:06 PM,,,,Logged,,,,
11,04/23/24 05:58:26 PM,,,,,Logged,Logged,,
12,04/23/24 05:58:56 PM,,,,Logged,,,,
13,04/23/24 06:00:00 PM,675.49,21.760,0.251,,,,,
14,04/23/24 07:00:00 PM,675.45,24.448,0.257,,,,,
15,04/23/24 08:00:00 PM,675.21,23.773,0.252,,,,,
16,04/23/24 09:00:00 PM,675.92,22.908,0.259,,,,,
17,04/23/24 10:00:00 PM,676.38,21.378,0.262,,,,,
18,04/23/24 11:00:00 PM,676.08,19.282,0.254,,,,,
19,04/24/24 12:00:00 AM,676.26,17.189,0.253,,,,,
20,04/24/24 01:00:00 AM,676.11,14.996,0.247,,,,,
21,04/24/24 02:00:00 AM,676.21,12.883,0.246,,,,,
22,04/24/24 03:00:00 AM,676.15,11.041,0.243,,,,,
23,04/24/24 04:00:00 AM,676.11,9.275,0.240,,,,,
24,04/24/24 05:00:00 AM,676.58,7.582,0.246,,,,,
25,04/24/24 06:00:00 AM,676.30,5.962,0.241,,,,,
26,04/24/24 07:00:00 AM,676.56,4.415,0.244,,,,,
27,04/24/24 08:00:00 AM,672.24,3.472,0.185,,,,,
28,04/24/24 09:00:00 AM,673.74,4.415,0.206,,,,,
29,04/24/24 10:00:00 AM,678.18,7.179,0.267,,,,,
30,04/24/24 11:00:00 AM,675.13,11.041,0.229,,,,,
31,04/24/24 11:20:55 AM,,,,,Logged,Logged,,
