siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn
MT05,TC9093SW,1/2/2007 16:09,1/9/2007 16:40,200701,5.57,3.9, ,0.105, ,0.008, ,0.007, ,0.041, ,0.053, ,0.221, ,0.049, ,0.2,1755.4,-9.99,25.856,w ,            ,
MT05,TC9355SW,1/9/2007 16:41,1/16/2007 16:00,200701,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,19.3,0.254,0.254,  ,v           ,
MT05,TC9636SW,1/16/2007 16:01,1/23/2007 16:45,200701,5.08,4.9, ,0.032, ,0.004, ,0.008, ,0.032, ,0.081, ,0.484, ,0.051, ,0.254,837.3,10.668,10.668,w ,            ,
MT05,TC9889SW,1/23/2007 16:46,1/30/2007 16:40,200701,5.94,2.4, ,0.22, ,0.007, ,0.025, ,0.054,<,0.004, ,0.088, ,0.056, ,0.139,210.6,3.81,3.81,w ,            ,
MT05,TD0092SW,1/30/2007 16:41,2/6/2007 16:20,200702,4.84,7.6, ,0.064, ,0.008, ,0.006, ,0.032, ,0.073, ,0.732, ,0.026, ,0.35,410.4,9.144,9.144,w ,            ,
MT05,TD0164SW,2/6/2007 16:21,2/13/2007 16:23,200702,5,6.1, ,0.046, ,0.008, ,0.007, ,0.016, ,0.126, ,0.899, ,0.025, ,0.18,466,8.128,8.128,w ,            ,
MT05,TD0637SW,2/13/2007 16:24,2/20/2007 15:56,200702,5.23,3.6, ,0.017, ,0.002, ,0.004, ,0.012, ,0.054, ,0.297, ,0.017, ,0.149,1181.1,-9.99,17.397,w ,            ,
MT05,TD0950SW,2/20/2007 15:57,2/27/2007 16:15,200702,5.31,3.1, ,0.02, ,0.002, ,0.003, ,0.019, ,0.065, ,0.269, ,0.029, ,0.114,1309.6,20.066,20.066,w ,            ,
MT05,TD1242SW,2/27/2007 16:16,3/6/2007 17:02,200703,5.18,3.7, ,0.031, ,0.004, ,0.005, ,0.025, ,0.032, ,0.397, ,0.04, ,0.071,234.1,3.556,3.556,w ,            ,
MT05,TD1437SW,3/6/2007 17:03,3/13/2007 15:31,200703,5.34,3.4, ,0.042, ,0.004, ,0.007, ,0.014, ,0.098, ,0.193, ,0.026, ,0.193,876.3,14.478,14.478,w ,            ,
MT05,TD1688SW,3/13/2007 15:32,3/20/2007 14:20,200703,5.31,3.8, ,0.035, ,0.004, ,0.01, ,0.02, ,0.169, ,0.384, ,0.028, ,0.256,768,8.636,8.636,w ,            ,
MT05,TD1967SW,3/20/2007 14:21,3/27/2007 15:05,200703,5.55,3.9, ,0.095, ,0.011, ,0.016, ,0.046, ,0.186, ,0.37, ,0.047, ,0.405,1205.4,23.114,23.114,w ,            ,
MT05,TD2235SW,3/27/2007 15:06,4/3/2007 15:00,200703,5.59,6.1, ,0.119, ,0.013, ,0.024, ,0.047, ,0.448, ,0.88, ,0.059, ,0.654,627.7,10.414,10.414,w ,            ,
MT05,TD2498SW,4/3/2007 15:01,4/10/2007 14:35,200704,5.62,5.3, ,0.199, ,0.025, ,0.028, ,0.044, ,0.305, ,0.715, ,0.065, ,0.581,530.7,10.668,10.668,w ,            ,
MT05,TD2772SW,4/10/2007 14:36,4/17/2007 14:45,200704,5.61,5.3, ,0.149, ,0.019, ,0.014, ,0.055, ,0.191, ,0.388, ,0.085, ,0.442,637.2,9.652,9.652,w ,            ,
MT05,TD3024SW,4/17/2007 14:46,4/24/2007 15:35,200704,4.77,10.2, ,0.136, ,0.016, ,0.014, ,0.056, ,0.179, ,1.111, ,0.079, ,0.765,329.4,9.144,9.144,w ,            ,
