CustomerID,OrderID,SampleNumber,Site,Sitecode,CustomerSampleNumber,CollectDate,CollectTime,StartDepth,EndDepth,SampleType,Volume,Matrix,Test,Param,ReportedResult,Qualifier,CorrectedReportedResult,CorrectedQualifier,Results_Units,Method,RDL,OrderComment,Results_Commnt,FieldNotes(2014+),FD Fieldnotes(-2013),FD QCData,FD Labnotes
FMP,FMP05652,FMP05652,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/3/2008,12/30/1899 9:00:00,0,0,Deposition-Wet,1688.2,Legacy_Deposition,Total Phosphorus,TP,12.757,,12.757,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20081003P Spikes: 99.123, 104.937, 109.49, 105.623 Reps: 20.643, 21.136; 11.202, 11.164; 6.804, 6.88; 5.932, 5.515 Knowns: 100.234, 100.96, 102.56, 94.115, 102.123",
FMP,FMP05671,FMP05671,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,7/23/2008,12/30/1899 10:00:00,0,0,Deposition-Wet,1196.7,Legacy_Deposition,Total Phosphorus,TP,9.503,,9.503,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",
FMP,FMP05694,FMP05694,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,8/22/2008,12/30/1899 9:00:00,0,0,Deposition-Wet,2110.5,Legacy_Deposition,Total Phosphorus,TP,16.943,,16.943,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",
FMP,FMP05704,FMP05704,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/1/2008,12/30/1899 10:30:00,0,0,Deposition-Wet,421,Legacy_Deposition,Total Phosphorus,TP,15.749,,15.749,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",
FMP,FMP05715,FMP05715,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/8/2008,12/30/1899 11:00:00,0,0,Deposition-Wet,274.7,Legacy_Deposition,Total Phosphorus,TP,8.19,,8.19,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",
FMP,FMP05718,FMP05718,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/11/2008,12/30/1899 11:00:00,0,0,Deposition-Wet,245,Legacy_Deposition,Total Phosphorus,TP,10.736,,10.736,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",
FMP,FMP05722,FMP05722,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/23/2008,12/30/1899 15:40:00,0,0,Deposition-Wet,1607.2,Legacy_Deposition,Total Phosphorus,TP,15.272,,15.272,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",
FMP,FMP05732,FMP05732,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/8/2008,12/30/1899 13:30:00,0,0,Deposition-Wet,464,Legacy_Deposition,Total Phosphorus,TP,17.536,,17.536,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090318P Spikes: 99.902, 105.876 Reps: 10.748, 10.337; 7.457, 7.292; 3.59, 3.672 Knowns: 92.984, 99.417, 99.26, 100.837, 100.522",
FMP,FMP05753,FMP05753,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,11/6/2008,12/30/1899 12:30:00,0,0,Deposition-Wet,1048.1,Legacy_Deposition,Total Phosphorus,TP,9.02,,9.02,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090318P Spikes: 99.902, 105.876 Reps: 10.748, 10.337; 7.457, 7.292; 3.59, 3.672 Knowns: 92.984, 99.417, 99.26, 100.837, 100.522",
FMP,FMP05756,FMP05756,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,11/13/2008,12/30/1899 10:03:00,0,0,Deposition-Wet,1181.3,Legacy_Deposition,Total Phosphorus,TP,1.327,,1.327,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090318P Spikes: 99.902, 105.876 Reps: 10.748, 10.337; 7.457, 7.292; 3.59, 3.672 Knowns: 92.984, 99.417, 99.26, 100.837, 100.522",
