"lims","id","date","nh3","chl","doc","no3no2","pc","pn","pp","srp","tdn","tdp","tn","tp","site","rep"
"3","23050501-01","UMC_A",2023-05-05,6,NA,1.21,302,376.666666666667,20,14.6733333333333,1,366,2.3,395,18.4,"UMC","A"
"4","23050501-02","UMC_B",2023-05-05,10.8,NA,1.16,302,270,16.6666666666667,12.1533333333333,2.2,414,7.8,403,14.6,"UMC","B"
"5","23050501-03","LMC_A",2023-05-05,14.3,NA,0.66,88,130,13.3333333333333,1.01666666666667,1.5,147,1.8,143,1.7,"LMC","A"
"6","23050501-04","LMC_B",2023-05-05,1.7,NA,0.66,88,326.666666666667,30,0.923333333333333,NA,128,NA,141,NA,"LMC","B"
"7","23051401-01","LM10_A",2023-05-15,2.7,0.88,0.76,94,183.333333333333,30,1.89,NA,140,3.8,160,6,"LM10","A"
"8","23051401-02","LM10_B",2023-05-15,2.2,0.96,0.7,94,130,20,1.66333333333333,NA,138,2.6,152,4.3,"LM10","B"
"9","23051401-03","LM5i_A",2023-05-15,1.5,0.67,0.69,104,30,NA,0.806666666666667,NA,144,NA,150,NA,"LM5i","A"
"10","23051401-04","LM5i_B",2023-05-15,NA,0.64,0.69,105,53.3333333333333,6.66666666666667,0.893333333333333,NA,154,NA,151,1.9,"LM5i","B"
"43","23061202-01","UMC_footbridge_A",2023-06-12,NA,NA,NA,NA,NA,NA,NA,NA,123,2,116,2,"UMC","footbridge_A"
"44","23061202-02","UMC_footbridge_B",2023-06-12,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,112,2.1,"UMC","footbridge_B"
"45","23061202-03","UMC_down_A",2023-06-12,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,111,2.1,"UMC","down_A"
"46","23061202-04","UMC_down_B",2023-06-12,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,116,2.3,"UMC","down_B"
"47","23061202-05","LMC_A",2023-06-12,NA,NA,NA,NA,NA,NA,NA,NA,137,NA,142,2.3,"LMC","A"
"48","23061202-06","LMC_B",2023-06-12,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,148,2.4,"LMC","B"
"49","23071103-01","LM10_A",2023-07-12,4.3,0.39,0.8,82.6,63.3333333333333,NA,0.72,NA,126,NA,145,2.7,"LM10","A"
"50","23071103-02","LM10_B",2023-07-12,4.3,0.39,0.8,82,70,NA,0.416666666666667,NA,126,NA,158,6.8,"LM10","B"
"51","23071103-03","LM5i_A",2023-07-12,9,0.22,0.79,83.4,66.6666666666667,NA,0.35,8.4,286,49.1,130,NA,"LM5i","A"
"52","23071103-04","LM5i_B",2023-07-12,4.3,0.23,0.82,82.8,83.3333333333333,NA,0.303333333333333,NA,137,1.6,134,1.7,"LM5i","B"
"53","23071103-05","MLN_A",2023-07-12,3.6,0.3,0.82,83.5,NA,NA,NA,NA,126,NA,131,1.5,"MLN","A"
"54","23071103-06","MLN_B",2023-07-12,4.8,0.29,0.75,83.1,NA,NA,NA,NA,126,NA,130,NA,"MLN","B"
"55","23071103-07","RS_A",2023-07-12,3.4,0.36,0.81,83.3,NA,NA,NA,NA,130,NA,130,NA,"RS","A"
"56","23071103-08","RS_B",2023-07-12,4.3,0.31,0.84,82.9,NA,NA,NA,NA,132,NA,130,NA,"RS","B"
"57","23071103-09","KLN_A",2023-07-12,5.3,0.33,0.84,82.8,NA,NA,NA,NA,144,1.9,127,NA,"KLN","A"
"58","23071103-10","KLN_B",2023-07-12,3.2,0.33,0.82,83,NA,NA,NA,NA,127,NA,140,4.4,"KLN","B"
"59","23071103-11","KLS_A",2023-07-12,5.9,0.33,0.86,81.9,NA,NA,NA,1.1,141,3.8,148,6.9,"KLS","A"
"60","23071103-12","KLS_B",2023-07-12,3.6,0.34,0.83,81.7,NA,NA,NA,NA,127,NA,137,2.8,"KLS","B"
"61","23071103-13","LN_A",2023-07-12,4.6,0.33,0.79,81.8,NA,NA,NA,NA,128,NA,126,NA,"LN","A"
"62","23071103-14","LN_B",2023-07-12,3.4,0.33,0.9,82.2,NA,NA,NA,NA,123,NA,124,NA,"LN","B"
"63","23071103-15","LS_A",2023-07-12,3.2,0.42,0.87,82.4,NA,NA,NA,NA,129,NA,141,3.4,"LS","A"
"64","23071103-16","LS_B",2023-07-12,3.3,0.4,0.89,81.8,NA,NA,NA,NA,123,NA,124,NA,"LS","B"
"65","23071103-17","GN_A",2023-07-12,3.8,0.31,0.88,81,NA,NA,NA,NA,127,NA,132,1.8,"GN","A"
"66","23071103-18","GN_B",2023-07-12,3.3,0.35,0.88,80.8,NA,NA,NA,NA,127,NA,128,1.8,"GN","B"
"67","23071103-19","GS_A",2023-07-12,4.3,0.45,0.91,82.1,NA,NA,NA,NA,134,NA,138,2.5,"GS","A"
"68","23071103-20","GS_B",2023-07-12,3.9,0.43,0.9,82,NA,NA,NA,NA,138,1.6,154,4.8,"GS","B"
"69","23071103-21","AG_A",2023-07-12,5.9,0.44,0.9,81.3,NA,NA,NA,1.8,144,5.7,138,2.6,"AG","A"
"70","23071103-22","AG_B",2023-07-12,6.8,0.38,0.92,81.8,NA,NA,NA,NA,140,3.5,142,4.2,"AG","B"
"71","23071103-23","UMC_footbridge_A",2023-07-12,3.6,NA,0.43,106,40,NA,0.396666666666667,NA,138,NA,133,2,"UMC","footbridge_A"
"72","23071103-24","UMC_footbridge_B",2023-07-12,3.3,NA,0.5,107,60,NA,0.476666666666667,NA,138,NA,131,NA,"UMC","footbridge_B"
"73","23071103-25","UMC_A",2023-07-12,2.2,NA,0.5,106,46.6666666666667,NA,0.493333333333333,NA,130,NA,137,2.5,"UMC","A"
"74","23071103-26","UMC_B",2023-07-12,3.5,NA,0.52,106,43.3333333333333,NA,0.516666666666667,NA,136,1.5,131,1.8,"UMC","B"
"75","23071103-27","LMC_A",2023-07-12,5,NA,0.88,81.4,53.3333333333333,NA,0.466666666666667,NA,133,NA,128,NA,"LMC","A"
"76","23071103-28","LMC_B",2023-07-12,5.3,NA,0.88,81.3,56.6666666666667,NA,0.38,NA,135,2.2,131,2.3,"LMC","B"
"77","23082001-01","UMC_footbridge_A",2023-08-20,4.3,NA,NA,127,NA,NA,NA,NA,NA,NA,150,NA,"UMC","footbridge_A"
"78","23082001-02","UMC_footbridge_B",2023-08-20,8.8,NA,NA,126,NA,NA,NA,NA,NA,NA,150,NA,"UMC","footbridge_B"
"79","23082001-03","UMC_A",2023-08-20,5.1,NA,NA,121,NA,NA,NA,0.9,NA,NA,150,NA,"UMC","A"
"80","23082001-04","UMC_B",2023-08-20,9.2,NA,NA,121,NA,NA,NA,1.6,NA,NA,148,1.5,"UMC","B"
"81","23082001-05","LMC_A",2023-08-20,4.8,NA,NA,65.5,NA,NA,NA,NA,NA,NA,126,2.2,"LMC","A"
"82","23082001-06","LMC_B",2023-08-20,6,NA,NA,67.4,NA,NA,NA,2.9,NA,NA,122,1.6,"LMC","B"
"85","23091701-01","LM10_A",2019-09-17,7.6,0.39,0.9,55.3,NA,NA,NA,NA,109,NA,119,1.7,"LM10","A"
"86","23091701-03","LM5i_A",2019-09-17,16.8,0.42,1.03,55.9,NA,NA,NA,21.3,176,31,112,NA,"LM5i","A"
"87","23091701-04","LM5i_B",2019-09-17,15.1,0.43,1.02,55.9,NA,NA,NA,20.6,125,33.9,114,NA,"LM5i","B"
"88","23091701-05","MLN_A",2019-09-17,7.8,0.45,1.09,56.3,NA,NA,NA,22.1,107,37.4,114,NA,"MLN","A"
"89","23091701-06","MLN_B",2019-09-17,7.7,0.41,1.16,56.3,NA,NA,NA,22.6,110,39,112,NA,"MLN","B"
"90","23091701-07","RS_A",2019-09-17,9,0.49,1.13,56.8,NA,NA,NA,25.8,111,38.4,143,5.7,"RS","A"
"91","23091701-08","RS_B",2019-09-17,14,0.5,1.15,56.5,NA,NA,NA,21.5,112,33.8,122,1.8,"RS","B"
