"Date","Volume","Parameter","Value","Volume_mL","Volume_L","Result_ugL"
2007-09-01,319.3,"TN","1234.01",319.3,0.3193,1234.01
2007-09-01,319.3,"TP","138.207",319.3,0.3193,138.207
2007-09-24,1834.6,"TN","491.745",1834.6,1.8346,491.745
2007-09-24,1834.6,"TP","30.677",1834.6,1.8346,30.677
2007-10-04,1451.4,"TN","497.223",1451.4,1.4514,497.223
2007-10-04,1451.4,"TP","14.192",1451.4,1.4514,14.192
2007-10-22,1602.8,"TN","428.749",1602.8,1.6028,428.749
2007-10-22,1602.8,"TP","9.965",1602.8,1.6028,9.965
2007-11-14,0,"TN","734.146",0,0,734.146
2007-11-14,0,"TN","743.732",0,0,743.732
2007-11-14,0,"TP","20.225",0,0,20.225
2007-11-14,0,"TP","23.453",0,0,23.453
2007-11-21,1160.8,"TN","294.07",1160.8,1.1608,294.07
2007-11-21,1160.8,"TP","6.335",1160.8,1.1608,6.335
2007-12-04,876.9,"TN","331.036",876.9,0.8769,331.036
2007-12-04,876.9,"TP","6.038",876.9,0.8769,6.038
2007-12-12,680.5,"TN","1913.69",680.5,0.6805,1913.69
2007-12-12,680.5,"TP","6.001",680.5,0.6805,6.001
2008-01-02,771,"TN","4041.98",771,0.771,4041.98
2008-01-02,771,"TP","10.979",771,0.771,10.979
2008-01-14,1900,"TN","438.826",1900,1.9,438.826
2008-01-14,1900,"TP","3.029",1900,1.9,3.029
2008-01-22,800,"TN","764.465",800,0.8,764.465
2008-01-22,800,"TP","11.614",800,0.8,11.614
2008-02-01,1200,"TN","383.181",1200,1.2,383.181
2008-02-01,1200,"TP","4.589",1200,1.2,4.589
2008-02-11,370.8,"TN","1305.93",370.8,0.3708,1305.93
2008-02-11,370.8,"TP","8.267",370.8,0.3708,8.267
2008-02-28,1085.8,"TN","872.641",1085.8,1.0858,872.641
2008-02-28,1085.8,"TP","4.477",1085.8,1.0858,4.477
2008-03-06,393.4,"TN","718.439",393.4,0.3934,718.439
2008-03-06,393.4,"TP","3.549",393.4,0.3934,3.549
2008-03-19,728.1,"TN","997.901",728.1,0.7281,997.901
2008-03-19,728.1,"TP","6.548",728.1,0.7281,6.548
2008-04-08,1043.6,"TN","998.905",1043.6,1.0436,998.905
2008-04-08,1043.6,"TP","18.98",1043.6,1.0436,18.98
2008-04-17,479.7,"TN","2020.55",479.7,0.4797,2020.55
2008-04-17,479.7,"TP","35.663",479.7,0.4797,35.663
2008-05-02,0,"TN","711.371",0,0,711.371
2008-05-02,0,"TN","671.606",0,0,671.606
2008-05-02,0,"TP","22.833",0,0,22.833
2008-05-02,0,"TP","23.628",0,0,23.628
2008-05-13,0,"TN","2956.24",0,0,2956.24
2008-05-13,0,"TN","1014.78",0,0,1014.78
2008-05-13,0,"TP","48.469",0,0,48.469
2008-05-13,0,"TP","279.148",0,0,279.148
2008-05-16,642.5,"TN","372.4",642.5,0.6425,372.4
2008-05-16,642.5,"TP","9.239",642.5,0.6425,9.239
2008-05-22,1629.7,"TN","524.863",1629.7,1.6297,524.863
2008-05-22,1629.7,"TP","20.225",1629.7,1.6297,20.225
2008-05-27,703.6,"TN","497.594",703.6,0.7036,497.594
2008-05-27,703.6,"TP","8.179",703.6,0.7036,8.179
2008-06-02,827.5,"TN","569.061",827.5,0.8275,569.061
2008-06-02,827.5,"TP","15.603",827.5,0.8275,15.603
2008-06-10,3970.5,"TN","238.062",3970.5,3.9705,238.062
2008-06-10,3970.5,"TP","6.308",3970.5,3.9705,6.308
2008-06-13,0,"TN","61.36",0,0,61.36
2008-06-13,0,"TP","3.028",0,0,3.028
2008-06-26,1073.7,"TN","226.764",1073.7,1.0737,226.764
2008-06-26,1073.7,"TP","28.719",1073.7,1.0737,28.719
2008-07-03,1134.8,"TN","346.588",1134.8,1.1348,346.588
2008-07-03,1134.8,"TP","101.405",1134.8,1.1348,101.405
2008-07-10,1154.4,"TN","355.417",1154.4,1.1544,355.417
2008-07-10,1154.4,"TP","169.428",1154.4,1.1544,169.428
2008-07-18,888.2,"TN","315.84",888.2,0.8882,315.84
2008-07-18,888.2,"TP","73.938",888.2,0.8882,73.938
2008-07-23,1087.2,"TN","167.989",1087.2,1.0872,167.989
2008-07-23,1087.2,"TP","17.341",1087.2,1.0872,17.341
2008-07-31,955.4,"TN","669.599",955.4,0.9554,669.599
2008-07-31,955.4,"TP","213.195",955.4,0.9554,213.195
2008-08-07,950.7,"TN","180.038",950.7,0.9507,180.038
2008-08-07,950.7,"TP","25.02",950.7,0.9507,25.02
2008-08-14,895,"TN","392.37",895,0.895,392.37
2008-08-14,895,"TP","88.262",895,0.895,88.262
2008-08-22,999,"TN","234.266",999,0.999,234.266
2008-08-22,999,"TP","53.249",999,0.999,53.249
2008-09-01,1039.3,"TN","323.258",1039.3,1.0393,323.258
2008-09-01,1039.3,"TP","79.906",1039.3,1.0393,79.906
2008-09-08,788.1,"TN","116.697",788.1,0.7881,116.697
2008-09-08,788.1,"TP","12.327",788.1,0.7881,12.327
2008-09-11,1280.8,"TN","33.917",1280.8,1.2808,33.917
2008-09-11,1280.8,"TP","3.813",1280.8,1.2808,3.813
2008-09-18,638.6,"TN","162.039",638.6,0.6386,162.039
2008-09-18,638.6,"TP","27.208",638.6,0.6386,27.208
2008-09-23,724.8,"TN","182.173",724.8,0.7248,182.173
2008-09-23,724.8,"TP","16.903",724.8,0.7248,16.903
2008-10-01,582.7,"TN","306.528",582.7,0.5827,306.528
2008-10-01,582.7,"TP","47.712",582.7,0.5827,47.712
2008-10-08,1220,"TN","166.161",1220,1.22,166.161
2008-10-08,1220,"TP","34.66",1220,1.22,34.66
2008-10-15,737.5,"TN","112.66",737.5,0.7375,112.66
2008-10-15,737.5,"TP","28.931",737.5,0.7375,28.931
2008-10-23,805.8,"TN","202.284",805.8,0.8058,202.284
2008-10-23,805.8,"TP","16.507",805.8,0.8058,16.507
2008-11-06,840.9,"TN","341.588",840.9,0.8409,341.588
2008-11-06,840.9,"TP","31.781",840.9,0.8409,31.781
2008-11-13,1467.6,"TN","137.345",1467.6,1.4676,137.345
2008-11-13,1467.6,"TP","2.397",1467.6,1.4676,2.397
2008-11-24,887.7,"TN","84.573",887.7,0.8877,84.573
2008-11-24,887.7,"TP","7.745",887.7,0.8877,7.745
2008-12-04,1007.6,"TN","69.289",1007.6,1.0076,69.289
2008-12-04,1007.6,"TP","3.672",1007.6,1.0076,3.672
2008-12-12,713,"TN","107.472",713,0.713,107.472
2008-12-12,713,"TP","2.397",713,0.713,2.397
2008-12-17,1290.3,"TN","70.218",1290.3,1.2903,70.218
2008-12-17,1290.3,"TP","4.906",1290.3,1.2903,4.906
2009-01-21,1149,"TN","21.707",1149,1.149,21.707
2009-01-21,1149,"TP","2.111",1149,1.149,2.111
2009-01-30,870.6,"TN","93.358",870.6,0.8706,93.358
2009-01-30,870.6,"TP","3.912",870.6,0.8706,3.912
2009-02-04,1148,"TN","49.583",1148,1.148,49.583
2009-02-04,1148,"TP","3.952",1148,1.148,3.952
2009-02-13,1256.4,"TN","164.371",1256.4,1.2564,164.371
2009-02-13,1256.4,"TP","1.39",1256.4,1.2564,1.39
2009-02-20,1267,"TN","68.154",1267,1.267,68.154
2009-02-20,1267,"TP","0.95",1267,1.267,0.95
2009-02-27,1318,"TN","70.349",1318,1.318,70.349
2009-02-27,1318,"TP","1.711",1318,1.318,1.711
2009-03-06,973.5,"TN","69.942",973.5,0.9735,69.942
2009-03-06,973.5,"TP","2.951",973.5,0.9735,2.951
2009-03-11,1352.7,"TN","70.947",1352.7,1.3527,70.947
2009-03-11,1352.7,"TP","5.312",1352.7,1.3527,5.312
2009-03-19,1120.8,"TN","54.939",1120.8,1.1208,54.939
2009-03-19,1120.8,"TP","1.831",1120.8,1.1208,1.831
2009-03-27,1030.6,"TN","204.948",1030.6,1.0306,204.948
2009-03-27,1030.6,"TP","8.501",1030.6,1.0306,8.501
2009-04-06,892.8,"TN","230.41",892.8,0.8928,230.41
2009-04-06,892.8,"TP","4.949",892.8,0.8928,4.949
2009-04-13,1629.6,"TN","119.507",1629.6,1.6296,119.507
2009-04-13,1629.6,"TP","22.46",1629.6,1.6296,22.46
2009-04-22,1273.2,"TN","192.499",1273.2,1.2732,192.499
2009-04-22,1273.2,"TP","20.72",1273.2,1.2732,20.72
2009-04-30,894.7,"TN","767.285",894.7,0.8947,767.285
2009-04-30,894.7,"TP","82.171",894.7,0.8947,82.171
2009-05-08,1201.5,"TN","451.65",1201.5,1.2015,451.65
2009-05-08,1201.5,"TP","45.586",1201.5,1.2015,45.586
2009-05-16,890.4,"TN","277.979",890.4,0.8904,277.979
2009-05-16,890.4,"TP","22.262",890.4,0.8904,22.262
2009-05-21,1239,"TN","287.059",1239,1.239,287.059
2009-05-21,1239,"TP","40.666",1239,1.239,40.666
2009-05-28,648.9,"TN","380.131",648.9,0.6489,380.131
2009-05-28,648.9,"TP","47.835",648.9,0.6489,47.835
2009-06-04,657,"TN","870.621",657,0.657,870.621
2009-06-04,657,"TP","161.264",657,0.657,161.264
2009-06-10,944.2,"TN","340.405",944.2,0.9442,340.405
2009-06-10,944.2,"TP","31.39",944.2,0.9442,31.39
2009-06-19,481.8,"TN","647.654",481.8,0.4818,647.654
2009-06-19,481.8,"TP","132.937",481.8,0.4818,132.937
2009-06-24,1872.8,"TN","165.95",1872.8,1.8728,165.95
2009-06-24,1872.8,"TP","26.178",1872.8,1.8728,26.178
2009-07-01,611.2,"TN","626.103",611.2,0.6112,626.103
2009-07-01,611.2,"TP","163.456",611.2,0.6112,163.456
2009-07-09,640.2,"TN","484.67",640.2,0.6402,484.67
2009-07-09,640.2,"TP","85.049",640.2,0.6402,85.049
2009-07-15,1117.3,"TN","156.827",1117.3,1.1173,156.827
2009-07-15,1117.3,"TP","10.6",1117.3,1.1173,10.6
2009-07-29,766.2,"TN","286.03",766.2,0.7662,286.03
2009-07-29,766.2,"TP","24.153",766.2,0.7662,24.153
2009-08-06,1092,"TN","220.095",1092,1.092,220.095
2009-08-06,1092,"TP","22.151",1092,1.092,22.151
2009-08-12,1064.1,"TN","173.357",1064.1,1.0641,173.357
2009-08-12,1064.1,"TP","8.337",1064.1,1.0641,8.337
2009-08-18,1586,"TN","118.809",1586,1.586,118.809
2009-08-18,1586,"TP","4.199",1586,1.586,4.199
2009-08-27,979,"TN","224.587",979,0.979,224.587
2009-08-27,979,"TP","26.858",979,0.979,26.858
2009-09-03,634.4,"TN","273.636",634.4,0.6344,273.636
2009-09-03,634.4,"TP","39.129",634.4,0.6344,39.129
2009-09-10,528,"TN","283.682",528,0.528,283.682
2009-09-10,528,"TP","24.492",528,0.528,24.492
2009-09-18,728.6,"TN","146.847",728.6,0.7286,146.847
2009-09-18,728.6,"TP","7.75",728.6,0.7286,7.75
2009-09-23,1325.2,"TN","51.401",1325.2,1.3252,51.401
2009-09-23,1325.2,"TP","3.493",1325.2,1.3252,3.493
2009-10-01,868.1,"TN","249.906",868.1,0.8681,249.906
2009-10-01,868.1,"TP","24.134",868.1,0.8681,24.134
2009-10-09,1110.5,"TN","217.114",1110.5,1.1105,217.114
2009-10-09,1110.5,"TP","37.624",1110.5,1.1105,37.624
2009-10-14,1508,"TN","87.12",1508,1.508,87.12
2009-10-14,1508,"TP","7.978",1508,1.508,7.978
2009-10-23,1147.6,"TN","118.74",1147.6,1.1476,118.74
2009-10-23,1147.6,"TP","3.759",1147.6,1.1476,3.759
2009-10-29,1678.3,"TN","102.93",1678.3,1.6783,102.93
2009-10-29,1678.3,"TP","4.139",1678.3,1.6783,4.139
2009-11-06,1295.9,"TN","92.976",1295.9,1.2959,92.976
2009-11-06,1295.9,"TP","4.557",1295.9,1.2959,4.557
2009-11-12,1324.2,"TN","52.572",1324.2,1.3242,52.572
2009-11-12,1324.2,"TP","4.979",1324.2,1.3242,4.979
2009-11-19,1119.8,"TN","87.12",1119.8,1.1198,87.12
2009-11-19,1119.8,"TP","1.643",1119.8,1.1198,1.643
2009-11-24,1403.8,"TN","46.716",1403.8,1.4038,46.716
2009-11-24,1403.8,"TP","5.019",1403.8,1.4038,5.019
2009-12-02,1236,"TN","111.714",1236,1.236,111.714
2009-12-02,1236,"TP","3.43",1236,1.236,3.43
2009-12-09,1023.4,"TN","86.535",1023.4,1.0234,86.535
2009-12-09,1023.4,"TP","4.543",1023.4,1.0234,4.543
2009-12-16,1228.6,"TN","116.984",1228.6,1.2286,116.984
2009-12-16,1228.6,"TP","4.741",1228.6,1.2286,4.741
2009-12-23,1710.9,"TN","96.492",1710.9,1.7109,96.492
2009-12-23,1710.9,"TP","0.577",1710.9,1.7109,0.577
2009-12-30,892.2,"TN","185.016",892.2,0.8922,185.016
2009-12-30,892.2,"TP","2.464",892.2,0.8922,2.464
2010-01-06,1458.4,"TN","101.09",1458.4,1.4584,101.09
2010-01-06,1458.4,"TP","2.194",1458.4,1.4584,2.194
2010-01-13,1155.8,"TN","99.366",1155.8,1.1558,99.366
2010-01-13,1155.8,"TP","2.023",1155.8,1.1558,2.023
2010-01-20,860,"TN","166.047",860,0.86,166.047
2010-01-20,860,"TP","1.119",860,0.86,1.119
2010-01-27,656.6,"TN","171.22",656.6,0.6566,171.22
2010-01-27,656.6,"TP","1.869",656.6,0.6566,1.869
2010-02-04,1331.4,"TN","162.598",1331.4,1.3314,162.598
2010-02-04,1331.4,"TP","3.21",1331.4,1.3314,3.21
2010-02-10,1402.7,"TN","72.424",1402.7,1.4027,72.424
2010-02-10,1402.7,"TP","1.186",1402.7,1.4027,1.186
2010-02-17,933.9,"TN","149.094",933.9,0.9339,149.094
2010-02-17,933.9,"TP","1.901",933.9,0.9339,1.901
2010-02-24,933.9,"TN","39.064",933.9,0.9339,39.064
2010-02-24,933.9,"TP","1.424",933.9,0.9339,1.424
2010-03-04,1142.3,"TN","137.974",1142.3,1.1423,137.974
2010-03-04,1142.3,"TP","2.418",1142.3,1.1423,2.418
2010-03-10,1365.8,"TN","122.172",1365.8,1.3658,122.172
2010-03-10,1365.8,"TP","2.06",1365.8,1.3658,2.06
2010-03-17,672.1,"TN","128.025",672.1,0.6721,128.025
