"Date","Volume","Volume_mL","Result_ugL","Volume_L","TP_kg_m2","TP_wet_kg"
2007-09-01,319.3,319.3,138.207,0.3193,0.000000701559490954183,19.5108396139441
2007-09-24,1834.6,1834.6,30.677,1.8346,0.000000894725512702299,24.8829161345898
2007-10-04,1451.4,1451.4,14.192,1.4514,0.000000327466039235636,9.1070500120385
2007-10-22,1602.8,1602.8,9.965,1.6028,0.000000253917236335888,7.06160851252596
2007-11-14,0,0,43.678,0,0,0
2007-11-21,1160.8,1160.8,6.335,1.1608,0.000000116906743823726,3.25125489419417
2007-12-04,876.9,876.9,6.038,0.8769,0.0000000841741470859432,2.34093944221422
2007-12-12,680.5,680.5,6.001,0.6805,0.0000000649213141076595,1.80550525424187
2008-01-02,771,771,10.979,0.771,0.000000134571380878191,3.74252028914943
2008-01-14,1900,1900,3.029,1.9,0.000000091493116276112,2.544484880413
2008-01-22,800,800,11.614,0.8,0.000000147709134844679,4.10789003160558
2008-02-01,1200,1200,4.589,1.2,0.0000000875457060188865,2.4347047556877
2008-02-11,370.8,370.8,8.267,0.3708,0.0000000487330068996216,1.35529758172118
2008-02-28,1085.8,1085.8,4.477,1.0858,0.0000000772809545006518,2.14923513674366
2008-03-06,393.4,393.4,3.549,0.3934,0.0000000221960605386156,0.617287318914776
2008-03-19,728.1,728.1,6.548,0.7281,0.0000000757940733204032,2.10788397464426
2008-04-08,1043.6,1043.6,18.98,1.0436,0.000000314895043082891,8.75744218421176
2008-04-17,479.7,479.7,35.663,0.4797,0.000000271971337954278,7.56370517801497
2008-05-02,0,0,46.461,0,0,0
2008-05-13,0,0,327.617,0,0,0
2008-05-16,642.5,642.5,9.239,0.6425,0.0000000943699325935582,2.62449107018335
2008-05-22,1629.7,1629.7,20.225,1.6297,0.000000524000548472227,14.5728064272286
2008-05-27,703.6,703.6,8.179,0.7036,0.0000000914874630377412,2.54432766006522
2008-06-02,827.5,827.5,15.603,0.8275,0.000000205263465390608,5.7085145357973
2008-06-10,3970.5,3970.5,6.308,3.9705,0.000000398173571587549,11.0734738734556
2008-06-13,0,0,3.028,0,0,0
2008-07-03,1688.2,1688.2,12.757,1.6882,0.000000342379692219643,9.52180869634227
2008-07-23,1196.7,1196.7,9.503,1.1967,0.000000180792981145274,5.02797396932745
2008-08-22,2110.5,2110.5,16.943,2.1105,0.000000568474794124193,15.8096650045197
2008-09-01,421,421,15.749,0.421,0.00000010540728434708,2.93144721945124
2008-09-08,274.7,274.7,8.19,0.2747,0.0000000357666369908747,0.994694144768814
2008-09-11,245,245,10.736,0.245,0.0000000418161584687291,1.16293539133081
2008-09-23,1607.2,1607.2,15.272,1.6072,0.000000390212686401068,10.8520763212007
2008-10-08,464,464,17.536,0.464,0.000000129355251025405,3.59745622220222
2008-11-06,1048.1,1048.1,9.02,1.0481,0.000000150295093955677,4.17980728753818
2008-11-13,1181.3,1181.3,1.327,1.1813,0.0000000249210692823758,0.693071638322653
2008-12-04,321,321,23.707,0.321,0.000000120981002193889,3.36456274995122
2009-02-04,497.5,497.5,4.512,0.4975,0.0000000356859877269403,0.992451234689348
2009-02-13,675.8,675.8,3.712,0.6758,0.0000000398806015706973,1.10910625682676
2009-02-27,1457,1457,2.511,1.457,0.0000000581623318813392,1.61753342879928
2009-03-06,447.3,447.3,4.352,0.4473,0.0000000309473403071445,0.860666274202362
2009-03-11,336.5,336.5,6.703,0.3365,0.0000000358583113414518,0.997243669896596
2009-03-27,909.2,909.2,6.299,0.9092,0.0000000910471972274332,2.53208357282361
2009-04-06,1063.3,1063.3,4.31,1.0633,0.000000072856554640552,2.02618961149397
2009-04-13,558.9,558.9,14.326,0.5589,0.00000012729009252488,3.54002278027656
2009-05-08,1249.3,1249.3,18.589,1.2493,0.000000369197127277352,10.2676195377816
2009-05-16,538,538,9.742,0.538,0.0000000833232011700741,2.31727406600773
