"dateOn","dateOff","NH4","NO3","subppt","L3w"
2007-01-02 16:00:00,2007-01-09 17:00:00,0.053,0.221,25.856,719072.68815081
2007-01-09 17:00:00,2007-01-16 16:00:00,-9,-9,0.254,7063.9102254914
2007-01-16 16:00:00,2007-01-23 17:00:00,0.081,0.484,10.668,296684.229470639
2007-01-23 17:00:00,2007-01-30 17:00:00,0.004,0.088,3.81,105958.653382371
2007-01-30 17:00:00,2007-02-06 16:00:00,0.073,0.732,9.144,254300.76811769
2007-02-06 16:00:00,2007-02-13 16:00:00,0.126,0.899,8.128,226045.127215725
2007-02-13 16:00:00,2007-02-20 16:00:00,0.054,0.297,17.397,483822.229105803
2007-02-20 16:00:00,2007-02-27 16:00:00,0.065,0.269,20.066,558048.907813821
2007-02-27 16:00:00,2007-03-06 17:00:00,0.032,0.397,3.556,98894.7431568796
2007-03-06 17:00:00,2007-03-13 16:00:00,0.098,0.193,14.478,402642.88285301
2007-03-13 16:00:00,2007-03-20 14:00:00,0.169,0.384,8.636,240172.947666708
2007-03-20 14:00:00,2007-03-27 15:00:00,0.186,0.37,23.114,642815.830519717
2007-03-27 15:00:00,2007-04-03 15:00:00,0.448,0.88,10.414,289620.319245147
2007-04-03 15:00:00,2007-04-10 15:00:00,0.305,0.715,10.668,296684.229470639
2007-04-10 15:00:00,2007-04-17 15:00:00,0.191,0.388,9.652,268428.588568673
2007-04-17 15:00:00,2007-04-24 16:00:00,0.179,1.111,9.144,254300.76811769
2007-04-24 16:00:00,2007-05-01 15:00:00,-9,-9,0.254,7063.9102254914
2007-05-01 15:00:00,2007-05-08 15:00:00,0.09,0.228,27.94,777030.124804054
2007-05-08 15:00:00,2007-05-15 16:00:00,0.337,0.761,10.414,289620.319245147
2007-05-15 16:00:00,2007-05-22 15:00:00,0.279,0.473,2.54,70639.102254914
2007-05-22 15:00:00,2007-05-29 16:00:00,0.129,0.483,22.352,621624.099843243
2007-05-29 16:00:00,2007-06-05 16:00:00,-9,-9,5.588,155406.024960811
2007-06-05 16:00:00,2007-06-12 15:00:00,0.122,0.351,22.86,635751.920294226
2007-06-12 15:00:00,2007-06-19 15:00:00,0.138,0.381,38.1,1059586.53382371
2007-06-19 15:00:00,2007-06-26 15:00:00,0.133,0.358,5.334,148342.114735319
2007-06-26 15:00:00,2007-07-03 15:00:00,-9,-9,0.508,14127.8204509828
